id	section	claim	numbers	source	verified_by	date	status
C46	Fig. 5 / IV (review item a.08, m.03) expert-label vs dense yolo26s per video	Per-video TEST F2 (bbox_from_instance, IoU .5, seeds pooled, 71 videos): expert-label yolo26s rip-video median 0.309 (mean 0.330; 4 of 31 rip videos above 0.85, 11 below 0.10; 27 of 40 no-rip clips with any false box) vs dense yolo26s median 0.352 (mean 0.397; 4 above 0.85, 9 below 0.10; 28 of 40 with a false box). Pooled F2 expert 0.4807 vs dense 0.5499; paired video-bootstrap delta +0.0691 [+0.0079, +0.1360] (B=1000, seed 0) = C13's +0.069 [+0.008,+0.136]; mean of seed-level F2 0.4793 / 0.5499 (= Table V 0.479 / 0.550). Dense-s per-video counts identical to the tracked pervideo_f2_test.tsv rows (0 mismatches over 71 videos).	medians .309/.352; >0.85: 4/4; <0.10: 11/9; no-rip any FP 27/28 of 40	plans/critic/codex/revision_20260915/p3_preparation/test_results/{summary.json, figure_values.tsv (37eb6b0d7d45), per_seed_video_counts.tsv (9f2ccc20536f), input_hashes_before_analysis.json}; thresholds val_frozen.json (.05/.01/.03 expert, .09/.09/.01 dense); pre-declaration 7	ICRA2027-edge	2026-09-15	verified (one declared TEST read, existing dumps)
C47	III reproducibility (review item a.10): classifier training recipe	Gate classifier 3_cls_yolo26_nano_224_best_e50_j2856380: yolo26n-cls.yaml trained from scratch (pretrained=false) on the canonical TRAIN manifest labels/classification/train.txt (per-frame label rip iff the expert bbox annotation file exists; P1 package cites process_data/build_labels.py::_has_bbox_annotation), 224 px, batch 256, seed 0, max 300 epochs / patience 50, optimizer=auto, lr0 .01, lrf .01, momentum .937 (config), weight_decay .0005 (config; Ultralytics batch scaling gives .002 effective for batch 256 - derived, not logged), warmup 3 epochs, auto_augment randaugment, erasing .4, cos_lr false. results.csv: 100 epochs logged (stopped by patience), best VAL top-1 0.847 at epoch 50 (= checkpoint e50); lr/pg0 rises 0.0099 -> 0.0199 -> 0.0298 over epochs 1-3 (3-epoch warm-up) then decays linearly (0.0202 at epoch 100 of the 300-epoch schedule, i.e. towards lrf*lr0), with the SGD groups (pg1) at one third (0.0099 peak) - the MuSGD auto pattern; NO optimizer log line is preserved for this job, so 'MuSGD(lr=.01, momentum=.9)' for the classifier is inferred from the identical auto rule logged in every student run, not read from a classifier log.	224/256/seed0/300/50; best e50 top-1 .847; warm-up 3; lr 0.03 Muon / 0.01 SGD groups	/mnt/linux/archive_cluster_runs_2026-08-26/classification/yolo26/3_nano_224/runs/RipBench_v1.2.0_yolo26n_cls_224_j2856380/{args.yaml (sha 387ec0a7...), results.csv}; classifier_checkpoint_metadata.json (P1); checkpoint args	ICRA2027-edge	2026-09-15	verified (args + results.csv); optimizer name inferred
C48	III reproducibility (review item a.10): student optimizer and software versions, exact scope	All six local args.yaml (canon_bfi_n_s1, canon_bfi_s_s3, interp_gt_s1_n_s1, kd_bfi_x_n_s1, t1_nano_k025_t024_s1_n_s1, t1_nano_k025_t024_s1_s_s3) carry identical hyper-parameters: optimizer=auto, lr0 .01, lrf .01, momentum .937 (config), weight_decay .0005, warmup 3, randaugment, erasing .4, cos_lr false, imgsz 640, batch 32, workers 6 (cluster twin: workers 16); epochs/patience 300/50 (expert, KD) or 60/15 (dense, interpolated). Resolved line 'optimizer: MuSGD(lr=0.01, momentum=0.9) with parameter groups ... weight(decay=0.0005)' appears in 58 of the 70 cluster job logs (every completed run; the other 12 are aborted/partial starts) and 9 times in the local queue log (the six local runs incl. resumes) - so it holds for every arm with a preserved log, not only the dense-small runs. results.csv of n and s runs show the same schedule as the classifier: pg0 peak 0.0298 (Muon groups) / pg1 0.0099 (SGD groups) after a 3-epoch warm-up, linear decay. Versions: every cluster run (L40/L40s) Ultralytics 8.4.92, Python 3.10.12, torch 2.11.0+cu130; the six local runs above (RTX 4090) Ultralytics 8.4.92, Python 3.11.10, torch 2.5.1+cu121.	MuSGD lr .01 (Muon groups x3) / momentum .9 / wd .0005; 8.4.92; 3.10.12+2.11.0+cu130 cluster; 3.11.10+2.5.1+cu121 local (6 runs)	/mnt/linux/icra_edge/runs/<run>/args.yaml and results.csv; /mnt/linux/icra_edge/cluster_pull/outputs/*.out (grep MuSGD / Ultralytics banner); /mnt/linux/icra_edge/train_student_queue.log	ICRA2027-edge	2026-09-15	verified (logs + args)
C49	III reproducibility (review item a.10): teacher label linking / smoothing algorithm	build_teacher_view.py (private sha256 887125a5f1bdd222...; public release commit b2dd4cb code/build_teacher_view.py sha b26205944f01a29d..., differing only in scrubbed paths): per native frame, RF-DETR-Seg-nano candidates with score >= .02 as mask bounding rects (BOX_SOURCE rect); window k = round(0.25*fps) frames on each side; for every box at frame t and every window frame u in [max(0,t-k), min(N-1,t+k)], the candidate with the highest IoU (argmax, NOT one-to-one) counts with its score if IoU >= .5, otherwise 0 (frames without candidates count 0); smoothed score = (own score + matched scores)/n_window; coordinates = score-weighted mean of the matched boxes; boxes with smoothed score >= TAU = .24 are kept, then per-frame NMS at IoU .5 on the smoothed boxes; boxes narrower or shorter than 2 px dropped; frames left without a box are dropped (KEEP_EMPTY_RIP_FRAMES false); expert-annotated frames keep their expert labels; no-rip videos' frames enter as negatives (INCLUDE_NEGATIVE_VIDEOS); stride s keeps native frames n with n % s == 0 among the added frames.	k=round(.25*fps); IoU .5; TAU .24; NMS .5; min 2 px	code/build_teacher_view.py (smooth_video lines 106-135, main lines 255-270, write_label 152-164); snapshot code/build_teacher_view.py	ICRA2027-edge	2026-09-15	verified (code read)
C50	III reproducibility (review item a.10): interpolated expert view (SDF densifier)	Interpolated view = dataset file labels/video_instance_segmentation/ytvis_dense_interp/train.json produced by the video-model work's densifier build_dense_view.py (external path /mnt/linux/RipBench/train/video_models/ytvis_view/build_dense_view.py, sha256 26e676c2b4958ae5..., 2026-08-02; snapshot code/video_models_build_dense_view.py): instance identity = the YTVIS sparse tracks of the dataset (built by greedy IoU linking of the per-frame instance annotations, per the json info); native frames are densified ONLY between consecutive annotated sampled frames of a rip video; per track, when both endpoints have masks: SDF(mask) = distanceTransform(L2, 3x3) inside minus outside, computed at a working scale of at most 1920 px on the long side (nearest-neighbour resizes), blended (1-w)*SDF_a + w*SDF_b with w = (k-i)/(j-i) for native frame k between annotated frames i<j, interpolated mask = blend >= 0, box = its bounding rect; when only one endpoint has a mask the annotated endpoint's mask is copied (nearest); frames before the first / after the last annotated frame are not densified; the interpolation variant passed the video-model work's gate on 2026-08-02 (SDF median IoU 0.99, 93 % of gaps >= 0.77). build_interp_view.py (sha f47e9521393a52e3..., byte-identical in the public release) converts this json to YOLO boxes (mask rects) with STRIDE and INCLUDE_NEGATIVE_VIDEOS, keeping expert labels on annotated frames (GT_ONLY_FRAMES for the spacing sweep).	SDF L2 blend, threshold 0, <=1920 px working scale; gate median IoU .99 / 93% >= .77	build_dense_view.py lines 51-56, 67-95, 108-175; build_interp_view.py header/constants; ytvis_dense_interp/train.json info	ICRA2027-edge	2026-09-15	verified (code read; gate figures from the densifier's own comment)
C51	IV alarm policies (review item g.01-g.03): matched-target comparison on the reference detector	Cached causal 1 Hz replay of the benchmark RF-DETR-n TEST dump with the gate classifier, 31 rip / 40 no-rip videos, thresholds frozen on VAL at two targets. Recall-matched target: detector-only (D .48) recall 0.774 [0.61,0.90], false-clip fraction 0.050, timely recall (<=10 s) 0.774, 1.000 detector calls per tick; gated (D .48 / C .0001) gives identical PER-VIDEO alarm outcomes (per-video hit, false-clip and timely-hit records coincide; deltas exactly 0.000 [0.000,0.000] for recall, false fraction and timely recall; individual ticks are not claimed identical, since the gate suppressed about 18 % of invocations) at 0.819 calls per tick, i.e. -0.1808 [-0.2738,-0.1072]; classifier-only (C .98) matches recall (+0.0000 [-0.1935,+0.2258]) with zero detector calls but +0.1500 [+0.0000,+0.3000] false-clip fraction (0.200 vs 0.050); two-tick persistence (D .42) -0.0323 [-0.0968,+0.0000] recall and -0.0250 [-0.0750,+0.0000] false fraction at no call saving (both unresolved). False-alarm-matched target: detector-only, gated and persistence coincide on all three per-video alarm metrics (0.774 recall, 0.050 false), gating saving only -0.0112 [-0.0242,-0.0017] calls per tick; classifier-only loses recall (-0.1290 [-0.2903,+0.0323], unresolved) AND does not stay matched on TEST: its false-clip fraction is 0.125 against the detector's 0.050 (the targets are validation quantities, not test guarantees). Paired stratified video bootstrap, B=1000, seed 0.	recall target: det 0.774/0.050; gated identical at 0.819 calls/tick; cls-only +0.150 false	plans/critic/codex/revision_20260915/p2_test_results/{absolute_metrics.tsv (350b1ef66b03), paired_differences.tsv (7ba4657b473d), per_video.tsv (219648ac324a), conditional_delays.json, COMPLETE.json, input_hashes_before_analysis.json}; thresholds p2_val_preparation/val_selection.json; pre-declaration 8	ICRA2027-edge	2026-09-15	verified (one declared TEST read of existing dumps)
C52	IV alarm policies: historical gate operating point on the same schedule	The historical gated operating point (detector .23 / classifier .50) on the same cached replay: recall 0.710 [0.55,0.87], false-clip fraction 0.075 [0.00,0.15], timely recall 0.710, 0.402 detector calls per tick (about 60 % fewer invocations than always-on), conditional delay median 0.0 s / p90 0.9 s over 22 alarmed videos. It therefore trades recall (vs 0.774 at the VAL recall-matched detector threshold) for a much lower invocation rate; this is the reference detector's cached replay, NOT the board configuration or a measured power result.	0.710 recall, 0.075 false, 0.402 calls/tick	same outputs as C51 (case historical/gated)	ICRA2027-edge	2026-09-15	verified
C53	3_method / review item b: exact per-view TRAIN composition (independently recounted)	Recounted directly from each built view's train.txt and label files (not from the package table, which it confirms): native TRAIN frames 191,619; expert anchors retained in EVERY view 31,083 (20,758 with a box, 10,325 without, the latter being annotated frames of rip videos with no rip box plus no-rip video frames); eligible unannotated frames 160,536. Teacher views (tau .24 after smoothing) keep an added frame only if it has a surviving box or belongs to a no-rip video: stride 1 adds 160,175 (105,730 positive + 54,445 negative), dropping 361 eligible rip frames whose smoothed teacher output was empty -> 191,258 images (126,488 positive / 64,770 negative); stride 2 adds 77,304 (51,311 + 25,993), dropping 164 -> 108,387 (72,069 / 36,318); stride 4 adds 38,526 (25,666 + 12,860), dropping 81 -> 69,609 (46,424 / 23,185). The stride applies ONLY to added frames and is a modulo test on the native frame index (verified: every stride-2 added frame has an even index and every stride-4 frame an index divisible by 4; the sets nest s4 subset of s2 subset of s1, and the stride-2/4 counts equal exactly the even / divisible-by-4 subsets of the stride-1 added frames), so the views are NOT 191k/2 and 191k/4. The interpolated expert view adds 160,530 frames (106,085 positive + 54,445 negative; 155,176 boxes) for 191,613 images (126,843 / 64,770), i.e. it drops only the 6 eligible frames where interpolation produced no mask, and it shares the teacher views' 54,445 no-rip negatives.	191,619 native; 31,083 anchors (20,758/10,325); added 160,175 / 77,304 / 38,526 (teacher s1/s2/s4) and 160,530 (interp); dropped 361/164/81 and 6; totals 191,258 / 108,387 / 69,609 / 191,613	recount of <data-root>/icra_edge_views/{t1_rfdetr_seg_nano_k0.25_t0.24_s1,_s2,_s4,interp_gt_s1}/train.txt + label files by ICRA2027-edge 2026-09-15; agrees cell for cell with plans/critic/codex/revision_20260915/training_view_counts.tsv and interpolation_train_label_audit.json; train_frames_manifest.tsv (n_extracted sum 191,619); build_info.json of each view	ICRA2027-edge	2026-09-15	verified (independent recount)
C54	Dataset identity / P7 (review-adjacent, author request): RipBench vs RipVIS provenance	From the camera-ready provenance records (content-matched video mapping, not id numbering): the evaluation collection has 304 videos (152 rip + 152 non-rip) and 51,011 annotated sampled frames; 183 videos are inherited from RipVIS (150 rip + 33 non-rip) and 121 are new footage (2 rip + 119 non-rip), the new footage contributing 15,051 of the 51,011 frames (29.5 %; the previously posted 15,148 assumed a different new-video slot and is superseded by the content match, pending the author's confirmation). All videos were re-annotated for this collection at >= 5 fps in frame order (the RipVIS export's frame ordering could not be relied on), giving 41,547 rip instance annotations over 29,415 rip-annotated sampled frames (+2,466 additional stills) and 344 negative frames inside rip videos. Split s1.3 is video-disjoint: train 165 videos / 31,083 frames (91 rip), val 68 / 10,369 (30 rip), test 71 / 9,559 (31 rip). The splits differ from RipVIS: four videos that were in the RipVIS validation split are in this test split (059, 072, 079, 147; 513 frames) and were excluded for the transfer analysis, while no RipVIS training video is in this test split; non-rip video ids are renumbered relative to RipVIS, rip ids coincide.	304 videos (152/152); 51,011 frames; 183 inherited / 121 new; 15,051 new-footage frames (29.5 %); 41,547 instances; splits 165/68/71 videos, 31,083/10,369/9,559 frames; 4 former RipVIS-val videos in test	RipBench v1.2.0 dataset accounting (Sec 3.3/4.1/4.2 rows, 2026-08-25) and camera_ready/provenance/{accounting.md, ripvis_ripbench_video_mapping.json, README.md}; eval/dataset_accounting.py; eval/results/transfer_clean_subset.tsv; memory note ripbench-provenance-mapping	ICRA2027-edge	2026-09-15	verified (existing records; 15,051 vs posted 15,148 flagged)
C55	III / IV (review item g.04): where the 0.50 gate threshold and the 0.90 classifier-only threshold come from	Two DIFFERENT validation studies, and the mapping must name both. (a) Gate 0.50: cascade_simulation.py selects the largest gate threshold whose FRAME-level val F2 stays within 0.005 of the ungated model, for the deployed dense yolo26n at its val-frozen confidence 0.04 on the bbox_from_instance val split, with the classifier scored through its own training transform. Reproduced on VAL today (no test read): always-on 0.5026, tolerance 0.4976, gated F2 0.4984 at 0.50 and 0.4972 at 0.55, so 0.50 is the largest passing threshold; the same for k-of-n 2/3 and 3/5. Scope note: the rule applied to the canonical expert-label student (conf 0.03) would select NO gate (every positive threshold loses more than 0.005), so 0.50 is specific to the deployed configuration, not a property of the classifier alone. (b) Classifier-only 0.90 is NOT that rule: classify_only_alarm_val.py maximises VAL VIDEO-F2 over a 0.1-0.9 grid with ties resolved to the higher threshold, and 0.8 and 0.9 tie at video-F2 0.844 (rip videos alarmed 0.867, no-rip false-episode clips 0.211), so 0.90 is chosen. (c) The separate gate-candidate study (gate_candidates_val.tsv, five classifiers x 0.1-0.8) ranks by val video-F2 with the dense student behind the gate and shows the deployed yolo26n-224 classifier at 0.811 video-F2 at thresholds 0.4-0.6; it did not set the deployed 0.50.	0.50 from 0.005 frame-F2 tolerance (0.4984 vs 0.5026, 0.55 -> 0.4972); 0.90 from val video-F2 0.844 tie broken upward	code/cascade_simulation.py lines 92-97 + results/cascade_sim.tsv (selected_on=val at 0.50); VAL-only re-run by ICRA2027-edge 2026-09-15 (log /tmp gate_val_sweep; values above); classify_only_alarm_val.py (selection rule in its docstring) + results/classify_only_alarm_val.tsv (selected *); results/gate_candidates_val.tsv; paper/TEST_CONSUMPTION.md 2026-09-04 20:31/20:32 and 2026-09-07 06:53	ICRA2027-edge	2026-09-15	verified (rule reproduced on VAL)
C56	IV (review item i): configuration chronology and which camera records precede which repair	Order of record, from paper/TEST_CONSUMPTION.md and JOBS.md: (1) 2026-08-26 the gate threshold 0.50 is selected on VAL (cascade_sim); (2) 2026-09-04 20:31-20:32 pre-declarations 1-2 fix the deployed configuration for Sec. V (gated cascade, dense yolo26n at 384 px, gate 0.50) and the 0.005 device-vs-workstation fidelity gate; the original configuration's test reads follow; (3) 2026-09-07 06:25 GATE PREPROCESSING CORRECTION - the deployed gate is scored through the classifier's training transform (centre crop) instead of the letterbox path (the letterbox path agreed with the offline gate on only 84.2 % of val frames); this is a correction, not a new selection; (4) 2026-09-07 06:33-06:43 pre-declarations 3, 4 and amended 4 fix the per-board rule (fits = cached pipeline <= 1 s; deployed = highest VAL video-F2 at frame-frozen confidences; ties -> smaller model) BEFORE any board-fitted read, i.e. after the original configuration's test knowledge existed; 06:40 freezes the alarm-level operating points on VAL and 06:53 pre-declares the classification-only scenario; (5) 2026-09-07 08:04 and 11:09 the Orin and RPi 5 board-fitted cascade test reads; (6) 2026-09-08 the RF-DETR INTER_AREA preprocessing re-dumps; (7) 2026-09-12 01:28-01:32 the cascade v2 correction (tight-view confidences) and the extended per-board reads. Camera records: ALL Table II windows (2026-09-10 night_camera, 09-11 pi4_heatsink / pi5, 09-12 pi4_bare / i.MX95 FRDM) postdate both the gate-transform correction (09-07) and the RF INTER_AREA re-dumps (09-08); the source-health repair validation (source_health_20260912) postdates the 09-10 and 09-11 windows and precedes only the 09-12 ones, so it is a later diagnostic for most camera rows, not the runtime they ran.	chronology as listed; camera windows 09-10..09-12 all after the 09-07 and 09-08 repairs; source-health validation 09-12 after most windows	paper/TEST_CONSUMPTION.md lines 109-131; paper/RESULTS.md sections dated 2026-09-07 06:25/06:29/06:34 and 2026-09-12 01:28; device_results/{night_camera_20260910, pi4_heatsink_camera_20260911, pi5_norip_20260911, pi4_bare_camera_20260912, imx95_frdm_*_20260912, source_health_20260912}	ICRA2027-edge	2026-09-15	verified (records)
C57	IV / Table II (review item j.01-j.03): delivered cadence, invocation rate and deadline records per board and scene	Verified: the prepared camera_window_metadata.tsv covers EXACTLY the 56 windows behind Table II (same board/scene/policy keys, identical mean power and decisions/s, all 56 result.json files present with matching sha256). Delivered cadence at the 1 Hz schedule (ticks per elapsed second) is 0.998-1.000 on every board in both scenes under the gated and the detector-only policies, so the schedule was met, not approximated; the ADAPTIVE policy instead lowers the tick rate in the no-rip scene to 0.20-0.28 ticks/s while keeping about 0.99 detector calls per tick, i.e. it saves work by slowing the schedule rather than by suppressing invocations. Under the gate, the no-rip scene records a MEASURED ZERO detector calls per tick on all seven units (0.0000, from 0 calls over ~600 ticks), while the rip scene runs 0.94-0.99 calls per tick. Deadline misses are 0 in every window except the four Nano windows, which each miss exactly 1 of about 600 ticks. Acceptance: 32 windows from the completed board review, 16 accepted through PI4_CAMERA_ACCEPTANCE_V1.json, 5 through FRDM_CAMERA_ACCEPTANCE_V1.json, 3 power-rejected (the FRDM adaptive rip and no-rip windows and the FRDM detector-only no-rip window: their cadence and call counts are measured, only their power record failed the sampling contract). Warm-up/thermal: start and end SoC temperatures exist for 48 of 56 windows (all boards except the Orin, which logs throttle flags only); no throttle flag is set in any window. Four separately identified Shelly Plug M Gen3 meters (32/8/8/8 windows). Lighting is recorded as a user-confirmed dark room with no illuminance measurement (4 windows carry an explicit dawn/daylight caveat). Meter uncertainty: the manufacturer's specification was not matched to a calibration in the campaign evidence, so absolute meter accuracy stays UNKNOWN; window and pair are the replicate unit and 1 Hz meter samples are not independent replicates.	ticks/s 0.998-1.000 gated; adaptive no-rip 0.20-0.28 ticks/s at ~0.99 calls/tick; gated no-rip 0.0000 calls/tick (measured zero); Nano 1 missed deadline per window, 0 elsewhere; 32+16+5 accepted, 3 power-rejected; thermal 48/56; 4 meters	ICRA_2027/revision_20260915/camera_gated_adaptive_14rows.tsv (built 2026-09-15 by ICRA2027-edge from plans/critic/codex/revision_20260915/camera_window_metadata.tsv, verified against results/camera_policy_rows.tsv and the 56 source result.json files); acceptance records device_results/paper_writing_20260912/*_CAMERA_ACCEPTANCE_V1.json; meter note plans/critic/codex/revision_20260915/METER_SPEC_CHECK.md	ICRA2027-edge	2026-09-15	verified (metadata vs table, hashes, 14-row extract)
C58	IV camera (review item e.02/j.01/l.01-l.02): measured expert-label yolo26s Pi 4 pairs, rip scene	New paired campaign on the heatsinked RPi 4 (serial 100000000c5bb937) at the historical operating point with the SELECTED detector, verified by the source owner against the board package: expert-label yolo26s (canon_bfi_s_s1_best_e1_384.onnx, sha256 f583eb17...) at confidence 0.07 behind the 224 px gate at 0.50 (yolo26n_cls_224_gate.onnx, sha256 17df962a...), CPU FP32, 4 threads, 1 Hz period, stale limit 2 s, same-frame input, 600 s camera windows, three rip pairs run as detector-only/gated alternating within each pair. All 12 executed windows completed with exactly 600 valid ticks, 0 deadline misses and accepted power records. Per-window detector invocation: detector-only 600 calls (1.0000 per tick) in all three windows; gated 491, 491 and 486 calls (0.8183, 0.8183, 0.8100 per tick), i.e. the gate suppressed 18-19 % of invocations on the rip replay. Paired whole-unit power, gated minus detector-only, recomputed independently from the three accepted pairs: -0.0922, -0.1499, -0.1893 W, mean -0.1438 W, sample standard deviation 0.0488 W, range [-0.1893, -0.0922] W (identical to the board audit's values). Window/pair is the replication unit, three pairs only, and absolute meter accuracy remains unverified. Emission frame age (capture proxy, milliseconds): detector-only median 694-700, gated median 743-744 with minima near 81-84 ms, so ages are not comparable across policies. IMPORTANT SCOPE: only the RIP scene has an accepted three-pair package. The no-rip scene has 0 of 3 accepted pairs (playback acceptance failures: clock-alignment round-trip over 100 ms or unknown, incomplete playback heartbeat coverage, playback not continuously visible, and one playback interruption), so no gated no-rip saving may be claimed from this campaign; the historical dense-n no-rip rows remain the only no-rip evidence. The original pair-1 detector-only window is retained as a failed, zero-tick preparation record (PREMEASUREMENT_INTERRUPTION.json); the accepted window is its snapshot restart.	3 accepted rip pairs; gated calls/tick 0.8183/0.8183/0.8100 vs 1.0000; paired dW -0.0922/-0.1499/-0.1893, mean -0.1438, SD 0.0488; 600 ticks, 0 misses, 12/12 power accepted; no-rip 0/3 pairs accepted	device-week 21971e82 device_results/revision_20260915/{PI4_QUEUE_COMPLETION.json, CAMERA_PAIR_AUDIT.json, CAMERA_FREEZE.md, camera_results/pi4_heatsink/*/audit.json + case.json}; independent recomputation by ICRA2027-edge 2026-09-15	ICRA2027-edge	2026-09-15	verified (source-owner check; values recomputed)
C59	Figure (review item l.04): Pi 4 gated time trace, field semantics verified against the board runner	Trace exported for the first accepted gated rip window pi4_heatsink_rip_pair1_2_gated (selection rule fixed before plotting; display window [0,60) s of the measurement phase; the full 600 s record is retained). Field meanings, read from the runner sources in device_results/revision_20260915/runtime_v2/ and confirmed numerically on the 600 rows: (a) status is the SOURCE state at emission, not an availability guarantee; all 600 ticks of this window are VALID (the other states the runner can emit are INPUT_UNAVAILABLE, STALE and NO_NEW_FRAME). (b) capture_ts is a capture PROXY, not an exposure time: in replay mode it is origin + frame_index/fps of the replayed media, and in camera mode it is the host read-start timestamp; read_done_ts is when the host finished reading the frame. (c) frame_age_ms equals result_ts - capture_ts exactly (verified to 1e-9 s on all 600 rows), i.e. proxy-capture to result; in this window its median is 742.3 ms with a minimum of 82.3 ms, and the audit's valid_emission_frame_age_ms (median 742.5 ms, min 82.3, max 867.3) is the emission-referenced variant - the two differ by the sub-millisecond gap between result and emission and must not be presented as an acquisition-to-alert latency. (d) detector_hits is null when the detector was NOT invoked (109 of 600 ticks, all with gate probability below 0.50) and an integer when it ran, including 7 ticks that ran and returned ZERO boxes; detector_ran is true exactly when the gate probability reaches 0.50 (491 ticks) and detector_ms is positive exactly on those ticks. (e) the per-tick boolean is `alert`, true exactly when detector_hits > 0 (484 ticks); there is no per-tick alarm field (the JSON 'alarm' key is absent/None). (f) callbacks record 600 gate starts and ends and 491 detector starts and ends, matching the tick record. (g) power rows are HOST-side meter queries: request_start and response_done are host monotonic timestamps with round-trip median 40 ms (max 78 ms), apower_W is the plug's reported active power at response receipt (600 samples, no errors, 5.20-7.00 W); they are not internal meter sampling instants and carry no causal per-inference attribution. (h) frames_skipped counts source frames dropped between consumed frames (median 29, max 89 here) and frame_sequence is monotone. A trace of normal accepted operation does not address the physical-fault question (l.03).	600 VALID ticks; 109 not invoked / 7 invoked-with-zero-boxes / 484 alerts; 491 detector callbacks; frame_age median 742.3 ms min 82.3; power rtt median 40 ms	ICRA_2027/paper/evidence/revision_20260915/p4_trace/{trace_source.json (archive sha256 368bca6f..., source commit dbd0fbec), audit.json, case.json, playback_audit.json}; runner sources device_results/revision_20260915/runtime_v2/{run_window.py lines 55-60 and 77-82, latest_frame_runtime.py lines 73-133, detector_only_runtime.py}; numeric checks by ICRA2027-edge 2026-09-15	ICRA2027-edge	2026-09-15	verified (code + 600-row recomputation)
C60	IV camera (review item j.01/l.01-l.02): measured expert-label yolo26s Pi 4 pairs, NO-RIP scene (recovery group)	Three-pair no-rip recovery campaign on the same heatsinked RPi 4 (serial 100000000c5bb937), verified by the source owner. All six windows share one frozen configuration, identical to the rip group: expert-label yolo26s detector sha256 f583eb17... at confidence 0.07, gate sha256 17df962a... at 0.50, 4 threads, 1 s period, 2 s stale limit, same-frame input, 600 s windows. Every window completed with 600/600 VALID ticks, 0 deadline misses, accepted power (600 valid samples each, maximum sample gap 1.01-1.03 s) and accepted playback (no rejection reasons; onset within 0.02 s of target, maximum heartbeat gap 1.13-1.49 s). Detector invocations: detector-only 600 calls per window (1.000 per tick); gated 0 calls (0.000 per tick) - a measured zero, and 0 emitted alarms in all six windows. Paired whole-unit power, gated minus detector-only, recomputed independently: -1.3421669146, -1.3665493720, -1.4153102357 W, mean -1.3746755075 W, sample standard deviation 0.0372426088 W, range [-1.4153102357, -1.3421669146] W (window means: detector-only 6.517, 6.545, 6.592 W; gated 5.175, 5.178, 5.176 W), i.e. about a 21 % reduction of whole-unit draw. Host-proxy emission frame age (median): 679-691 ms for detector-only windows, 99.8 ms for gated windows - the gate's ticks skip the detector, so ages are not comparable across policies. Measured thermal state (about 597 measurement samples per window, single cpu-thermal zone): detector-only windows run 67.2-77.4 C, gated windows 60.9-67.7 C, and the throttle word is 0x0 in every sample of all six windows (no throttling observed; this is a measured state, not a calibrated accuracy or an endurance claim). Accounting: 18 completed runtime/power windows in total, of which 12 form accepted pairs (6 original rip + 6 recovery no-rip); the 6 original no-rip windows remain reported as playback-excluded. Snapshot paper/evidence/revision_20260915/p4_norip_recovery1/ verified: all 46 recorded file hashes match, raw_test_read false.	paired no-rip dW -1.3422/-1.3665/-1.4153, mean -1.3747, SD 0.0372 W; gated 0.000 calls/tick and 0 alarms vs 1.000; 600 ticks 0 misses; temps 60.9-77.4 C, throttled=0x0	board commit 2566e401 via ICRA_2027/paper/evidence/revision_20260915/p4_norip_recovery1/{SNAPSHOT.json, CAMERA_PLAN_NORIP_RECOVERY1.json, NORIP_RECOVERY1_FREEZE.md, camera_results/pi4_heatsink/*/{audit,case,playback_audit}.json, thermal.jsonl}; independent recomputation by ICRA2027-edge 2026-09-15	ICRA2027-edge	2026-09-15	verified (source-owner check; values recomputed)
C61	Figure (review item l.04, Pi 5 panel): RF-DETR-n gated time trace, configuration and field semantics verified	Companion trace to C59 from the first accepted gated rip window on the RPi 5 (case pi5_rip_pair1_2_gated, board serial 57ff58a4c95dfbe5; selection rule recorded prospectively, display window [0,60) s of the measurement phase, full 600 s retained). Configuration: RF-DETR-n (rfdetr_n_det_640.onnx, sha256 aa43524ca3d1...) at confidence 0.23 behind the same 224 px gate (yolo26n_cls_224_gate.onnx, sha256 17df962a...) at 0.50, camera mode, 4 threads, 1 s period, 2 s stale limit, same-frame input, 600 s. Runtime: 600/600 VALID ticks, 0 deadline misses, all eight recorded raw files hash-verified; power accepted (600/600 valid samples, maximum gap 1.03 s, mean 9.20 W, 5.51 kJ over 599.0 s); playback accepted with no rejection reasons (onset 0.009 s from target, maximum heartbeat gap 1.31 s). Detector activity: 470 invocations (0.783 per planned tick), 130 ticks where the detector was NOT invoked (null hit count, gate probability below 0.50) and ZERO ticks that ran and returned no box, so on this board every invocation produced at least one box and alert count equals invocation count (470); callbacks record 600 gate pairs and 470 detector pairs, matching. Field semantics are identical to C59 and were re-verified on all 600 rows: frame_age_ms equals result_ts - capture_ts exactly (median 645.0 ms, min 44.5 ms, max 759.3 ms), capture_ts is the host read-start proxy in camera mode and not an exposure time, alert is true exactly when detector_hits > 0, detector_ran is true exactly when the gate probability reaches 0.50 and detector_ms is positive only then, and power rows are host-side meter queries timestamped at response receipt (round-trip median 38 ms, maximum 72 ms; 5.80-11.00 W, no errors). Normal accepted operation: this trace is not a replicated power-saving claim and does not address the physical-fault item.	600 VALID ticks, 0 misses; 470 invocations = 0.783/tick, 130 not invoked, 0 zero-box; ages median 645.0 ms min 44.5; power mean 9.20 W, rtt median 38 ms	ICRA_2027/paper/evidence/revision_20260915/p5_trace/{trace_source.json (archive sha256 224df8b0..., source commit 1da65a26), audit.json, case.json, playback_audit.json}; runner sources device_results/revision_20260915/runtime_v2/; recomputation by ICRA2027-edge 2026-09-16	ICRA2027-edge	2026-09-16	verified (code + 600-row recomputation)
